ID_plant,phytotron,date,initial_height_cm,initial_stem_width_1_cm,initial_stem_width_2_cm,initial_branching
1,2,20210420,125,1.49,1.45,19
2,2,20210420,120,0.69,0.81,19
3,2,20210420,125,0.99,0.96,19
4,2,20210420,123,0.95,0.96,18
5,1,20210420,122,1.22,1.27,18
6,1,20210420,113,0.69,0.67,22
7,1,20210420,132,0.9,0.96,20
8,2,20210420,128,1.11,1.11,17
9,2,20210420,123,0.87,0.88,13
10,2,20210420,117,1.01,1.13,24
11,1,20210420,113,1.15,1.14,15
12,2,20210420,125,1.48,1.36,24
13,2,20210420,122,1.22,1.26,20
14,1,20210420,118.5,1.29,1.31,19
15,1,20210420,113,1.11,1.09,1
16,1,20210420,111.5,1,1.06,17
17,1,20210420,111,1.1,1.15,24
18,1,20210420,109,1.43,1.44,13
19,2,20210420,123,1.22,1.35,18
20,2,20210420,128,1.31,1.42,18
21,2,20210420,128,1.31,1.25,28
22,1,20210420,121.5,1.51,1.43,22
23,2,20210420,110,0.92,0.95,15
24,2,20210420,115,1.24,1.31,17
25,1,20210420,139,1.6,1.59,19
26,1,20210420,128,1.31,1.3,21
27,1,20210420,116.5,1,1.1,21
28,2,20210420,126,1.66,1.58,24
29,2,20210420,124,1.31,1.28,29
30,2,20210420,117,1.04,1.17,27
31,2,20210420,133,1.63,1.71,23
32,1,20210420,121,1.6,1.66,22
33,2,20210420,127,1.37,1.42,19
34,1,20210420,136,1.41,1.46,23
35,1,20210420,112,1.23,1.21,20
36,1,20210420,118,1.91,1.09,27
37,2,20210420,126,1.62,1.54,26
38,2,20210420,116,1.1,1.08,16
39,1,20210420,108.5,1.16,1.23,20
40,2,20210420,120,1.87,1.76,18
41,2,20210420,99,1.04,1,21
42,2,20210420,119,1.03,1.12,19
43,1,20210420,125,1.4,1.37,24
44,1,20210420,111,1.07,1,23
45,1,20210420,109,1.58,1.48,18
46,1,20210420,117,0.99,1.01,0
47,2,20210420,119,1.51,1.6,25
48,1,20210420,115,1.49,1.55,0
49,1,20210420,109,1.6,1.56,0
50,1,20210420,123,1.75,1.58,23
51,2,20210420,116,1.78,1.76,34
52,1,20210420,121.5,1.17,1.3,26
53,1,20210420,117,1.26,1.3,28
54,1,20210420,109,1.5,1.4,21
55,1,20210420,129,1.78,1.93,31
56,2,20210420,123,1.45,1.36,28
57,2,20210420,114,1.53,1.12,18
58,1,20210420,125,1.15,1.18,14
59,1,20210420,116.5,0.86,0.94,24
60,1,20210420,113,0.9,1.1,12
61,1,20210420,119.5,1.46,1.45,21
62,2,20210420,123,1.17,1.28,17
63,2,20210420,137,1.97,1.86,24
64,2,20210420,117,1.05,1.11,28
65,2,20210420,121,1.21,1.28,25
66,2,20210420,119,0.94,1.1,9
67,1,20210420,113,1.19,1.26,18
68,1,20210420,125,1.26,1.22,28
69,1,20210420,131,1.37,1.26,18
70,1,20210420,127.5,0.94,0.99,18
71,1,20210420,119,0.9,0.9,13
72,1,20210420,114,1,1.01,29
73,1,20210420,123,1.14,1.03,19
74,2,20210420,121,1.33,1.38,28
75,2,20210420,124,1.23,1.14,27
76,2,20210420,119,1,0.9,23
77,2,20210420,108,1.38,1.41,22
78,1,20210420,125.5,1.21,1.28,20
79,2,20210420,121,1.6,1.36,23
80,2,20210420,111,1.22,1.24,12
81,2,20210420,114,1.12,1.1,28
82,1,20210420,127,1.17,1.13,22
83,2,20210420,122.5,1.11,1.11,22
84,2,20210420,118,1.05,1.2,22
85,1,20210420,108,1.47,1.36,17
86,2,20210420,112,1.28,1.29,22
87,1,20210420,128,1.65,1.65,20
88,2,20210420,118,1.39,1.41,24
89,1,20210420,119.5,1.1,1.09,21
90,1,20210420,114,1.27,1.24,26
91,2,20210420,116,1.11,1.21,18
92,2,20210420,124,1.34,1.27,23
93,1,20210420,127.5,1.63,1.69,27
94,2,20210420,126,1.21,1.3,20
95,2,20210420,126,1.27,1.34,30
96,1,20210420,119,1.22,1.22,13
97,2,20210420,122,0.92,0.9,23
98,2,20210420,142,1.69,1.47,36
99,2,20210420,125,1.21,1.18,23
100,2,20210420,120,1.3,1.2,26
101,1,20210420,128,1.25,1.3,23
102,2,20210420,122,0.9,1.09,16
103,2,20210420,125,1.04,1.03,15
104,1,20210420,134,1.24,1.23,18
105,1,20210420,124.5,0.94,0.92,20
106,2,20210420,111,1.27,1.41,21
107,2,20210420,106,1.44,1.48,22
108,2,20210420,126,1.22,1.29,24
109,2,20210420,122,1.61,1.49,22
110,2,20210420,135,1.44,1.36,23
111,1,20210420,118,1.21,1.17,18
112,1,20210420,130.5,1.65,1.64,25
113,1,20210420,126,1.45,1.49,22
114,1,20210420,107.5,1.35,1.3,21
115,1,20210420,114,1.45,1.34,18
116,2,20210420,111,1.09,1.11,21
117,1,20210420,116,1.16,1.2,18
118,1,20210420,115,1.03,1.02,21
119,1,20210420,128,1.4,1.35,25
120,1,20210420,110.5,1.15,1.2,24
