N_days_w,date,ID_plant,campaign,phytotron,water_treatment
1,20210504,2,1,2,control
1,20210504,13,1,2,control
1,20210504,63,1,2,control
1,20210504,84,1,2,control
1,20210504,95,1,2,control
1,20210505,5,1,1,control
1,20210505,18,1,1,control
1,20210505,67,1,1,control
1,20210505,72,1,1,control
1,20210505,87,1,1,control
1,20210518,44,2,1,control
1,20210518,70,2,1,control
1,20210518,118,2,1,control
1,20210518,56,2,1,control
1,20210518,103,2,1,control
1,20210518,109,2,1,control
7,20210519,21,2,2,drought
7,20210519,37,2,2,drought
7,20210519,92,2,2,drought
7,20210519,98,2,2,drought
7,20210519,106,2,2,drought
7,20210520,11,2,1,drought
7,20210520,34,2,1,drought
7,20210520,45,2,1,drought
7,20210520,52,2,1,drought
7,20210520,85,2,1,drought
1,20210525,96,3,1,control
1,20210525,119,3,1,control
1,20210525,120,3,1,control
1,20210525,65,3,2,control
1,20210525,86,3,2,control
1,20210525,88,3,2,control
14,20210526,57,3,2,drought
14,20210526,97,3,2,drought
14,20210526,99,3,2,drought
14,20210526,100,3,2,drought
14,20210526,102,3,2,drought
14,20210527,6,3,1,drought
14,20210527,35,3,1,drought
14,20210527,50,3,1,drought
14,20210527,69,3,1,drought
14,20210527,104,3,1,drought
15,20210527,33,3,2,drought
15,20210527,75,3,2,drought
15,20210527,3,3,2,drought
15,20210527,41,3,2,drought
15,20210527,23,3,2,drought
1,20210601,36,4,1,control
1,20210601,68,4,1,control
1,20210601,111,4,1,control
1,20210601,20,4,2,control
1,20210601,42,4,2,control
1,20210601,110,4,2,control
21,20210602,28,4,2,drought
21,20210602,77,4,2,drought
21,20210602,107,4,2,drought
21,20210603,25,4,1,drought
21,20210603,101,4,1,drought
21,20210603,112,4,1,drought
1,20210607,31,5,2,control
1,20210607,40,5,2,control
1,20210607,64,5,2,control
1,20210607,80,5,2,control
28,20210608,24,5,2,drought
28,20210608,116,5,2,drought
7,20210608,12,5,2,mod_dro
7,20210608,51,5,2,mod_dro
7,20210608,81,5,2,mod_dro
28,20210609,14,5,1,drought
28,20210609,46,5,1,drought
7,20210609,39,5,1,mod_dro
7,20210609,58,5,1,mod_dro
7,20210609,93,5,1,mod_dro
1,20210610,54,5,1,control
1,20210610,61,5,1,control
1,20210610,89,5,1,control
1,20210610,114,5,1,control
