campaign,date,plant,phyto,CO2,water,ndays_water,HHMMSS,Photo,Cond,Ci,Tair,Tleaf,TBlk,CO2R,CO2S,H2OR,H2OS,RH_R,RH_S,Flow,PARi,PARo,Press
third,20210525,86,2,ambient,control,1,09:19:45,10.33160319,0.067645285,160.7407576,22.74882444,22.912291,23.04348967,420.115387,412.9829814,14.48387104,15.04553201,53.19619454,55.25896242,299.6004503,999.5556641,37.41393026,102.0022897
third,20210525,88,2,ambient,control,1,10:19:09,7.402192133,0.054848037,190.6697721,22.8710715,24.14695401,23.04449738,420.0328471,414.8741082,15.08230379,15.59654056,54.99771076,56.8728358,299.5611233,1000.332709,47.02629471,102.0207282
third,20210525,65,2,ambient,control,1,10:59:49,10.67647512,0.108289399,246.2360405,22.79156812,23.65009308,23.04076529,419.9720103,412.4613469,15.10591928,16.02098385,55.3557984,58.70895322,299.6032384,999.0707448,28.75825644,102.032863
third,20210525,96,1,elevated,control,1,11:42:25,13.89132894,0.112368511,419.5179891,22.74021657,23.40152529,23.0430656,640.0430501,630.1698473,14.81103049,15.74858962,54.43769752,57.8837577,299.610477,1001.354811,11.77975792,102.0189794
third,20210525,120,1,elevated,control,1,12:41:32,14.59523979,0.094928263,369.8301354,22.90733576,24.0227704,23.04181369,639.9942576,629.703125,14.9901615,15.8466084,54.53721078,57.65335337,299.5998077,999.7641602,35.15200901,102.0146351
third,20210525,119,1,elevated,control,1,13:27:39,16.20293565,0.104297937,367.2513125,22.75830383,23.43431803,23.04440333,639.9679403,628.5976074,14.99446856,15.86169008,55.04143957,58.22481944,299.5990621,1001.161076,41.91529338,102.0009816
third,20210526,100,2,ambient,drought,14,09:13:40,1.489189505,0.007681208,102.1755303,22.80964279,24.19087219,23.0491581,419.9803467,418.9566956,14.88219166,14.95897865,54.13250732,54.41181564,300.545166,998.331665,45.80385971,101.3888397
third,20210526,99,2,ambient,drought,14,09:58:11,3.558244101,0.019020782,108.4745743,22.77398071,23.8743632,23.04275653,420.0393372,416.3753398,16.11966235,16.36733945,58.75524241,59.65777435,199.949058,998.9810913,50.16262182,101.3792252
third,20210526,57,2,ambient,drought,14,10:54:58,2.353448935,0.012345807,102.9216374,22.88485718,24.59395733,23.04385281,420.0815491,417.6530243,16.34842873,16.52365074,59.17617035,59.81027603,199.9429977,1000.148956,38.93406372,101.3554817
third,20210526,97,2,ambient,drought,14,11:43:50,3.831364735,0.01945735,90.15465512,22.8039238,23.9148351,23.04150899,420.0086385,417.3877889,16.42273852,16.58964704,59.70885798,60.31555023,300.4979574,999.9103027,40.44837748,101.307399
third,20210526,102,2,ambient,drought,14,12:40:45,5.298519832,0.026546147,90.18683475,22.86121012,24.02075895,23.04137281,420.0013611,416.3792155,16.63091888,16.85706126,60.25673955,61.07603607,300.5087016,1000.490043,37.04838257,101.3092097
third,20210527,69,1,elevated,drought,14,09:07:03,9.811166572,0.109855134,474.9190098,22.81575685,24.1035669,23.04618252,640.0288876,632.8733844,15.98896632,16.92992323,57.93398105,61.34498349,299.5907054,1001.240145,50.0615111,101.0390921
third,20210527,104,1,elevated,drought,14,09:52:16,9.249299178,0.034607682,193.8356454,22.83563004,23.99809666,23.04434814,640.008075,633.6603821,17.78530331,18.05380764,64.34461441,65.3156105,299.600119,1000.847913,24.62322655,101.0031487
third,20210527,35,1,elevated,drought,14,10:49:48,13.57407252,0.07758418,340.1778979,22.87150288,23.80943966,23.04257393,639.9375305,630.5298309,18.32532406,18.86528587,66.13782501,68.08665276,299.6257019,999.90242,41.25885201,100.97785
third,20210527,50,1,elevated,drought,14,11:51:12,8.352267547,0.026529274,118.6708587,22.85841751,24.33233343,23.04487528,640.0592739,634.3507778,18.48721177,18.69287246,66.74650683,67.4883194,299.6038688,1000.482038,40.24383436,100.9345627
third,20210527,6,1,elevated,drought,14,12:34:32,10.75450126,0.044329921,232.3053079,22.78897985,23.79996141,23.04437892,640.0181834,632.6408691,18.64248562,18.94978237,67.57179705,68.68552335,299.6036301,1000.610748,28.53565073,100.9063365
